    energy(eV)      sigma_t(b)
    4.062500e+06    1.281790e+00
    4.067188e+06    1.267771e+00
    4.075000e+06    1.255691e+00
    4.090625e+06    1.240148e+00
    4.102188e+06    1.220430e+00
    4.113281e+06    1.201546e+00
    4.115937e+06    1.198284e+00
    4.121914e+06    1.199805e+00
    4.125235e+06    1.207509e+00
    4.127891e+06    1.218591e+00
    4.129219e+06    1.225492e+00
    4.131875e+06    1.245216e+00
    4.134531e+06    1.272216e+00
    4.137188e+06    1.307636e+00
    4.139844e+06    1.352498e+00
    4.142500e+06    1.407536e+00
    4.145156e+06    1.473011e+00
    4.147812e+06    1.548505e+00
    4.150469e+06    1.632693e+00
    4.155781e+06    1.817723e+00
    4.159765e+06    1.957013e+00
    4.162422e+06    2.043248e+00
    4.163750e+06    2.084254e+00
    4.166406e+06    2.155964e+00
    4.169062e+06    2.215080e+00
    4.171719e+06    2.260685e+00
    4.174375e+06    2.292822e+00
    4.177031e+06    2.312289e+00
    4.179688e+06    2.320379e+00
    4.182344e+06    2.318534e+00
    4.185000e+06    2.308680e+00
    4.189063e+06    2.281019e+00
    4.193125e+06    2.242599e+00
    4.197188e+06    2.197149e+00
    4.229687e+06    1.781563e+00
    4.237812e+06    1.683440e+00
    4.241875e+06    1.636035e+00
    4.250000e+06    1.548120e+00
    4.257812e+06    1.474682e+00
    4.262500e+06    1.438690e+00
    4.265625e+06    1.420419e+00
    4.268750e+06    1.408177e+00
    4.271875e+06    1.403910e+00
    4.274219e+06    1.407441e+00
    4.276562e+06    1.417513e+00
    4.278906e+06    1.436674e+00
    4.281250e+06    1.464833e+00
    4.282813e+06    1.490288e+00
    4.284375e+06    1.521295e+00
    4.285938e+06    1.558288e+00
    4.287500e+06    1.601633e+00
    4.289062e+06    1.651752e+00
    4.290625e+06    1.708643e+00
    4.292187e+06    1.772263e+00
    4.293750e+06    1.842403e+00
    4.296093e+06    1.959462e+00
    4.298438e+06    2.088296e+00
    4.303125e+06    2.358823e+00
    4.306250e+06    2.541145e+00
    4.309375e+06    2.707054e+00
    4.311718e+06    2.814807e+00
    4.314063e+06    2.906682e+00
    4.316407e+06    2.977815e+00
    4.318750e+06    3.030823e+00
    4.321093e+06    3.062993e+00
    4.323437e+06    3.078805e+00
    4.325000e+06    3.080168e+00
    4.327344e+06    3.070583e+00
    4.330860e+06    3.035160e+00
    4.334375e+06    2.983706e+00
    4.347265e+06    2.737886e+00
    4.353125e+06    2.623844e+00
    4.360156e+06    2.501561e+00
    4.367188e+06    2.392093e+00
    4.374219e+06    2.297369e+00
    4.381250e+06    2.213379e+00
    4.390625e+06    2.117944e+00
    4.400000e+06    2.037548e+00
    4.409375e+06    1.970529e+00
    4.418750e+06    1.913901e+00
    4.425000e+06    1.883011e+00
    4.431250e+06    1.857937e+00
    4.437500e+06    1.840104e+00
    4.443750e+06    1.832406e+00
    4.450000e+06    1.840816e+00
    4.456250e+06    1.859455e+00
    4.457617e+06    1.857915e+00
    4.459375e+06    1.841130e+00
    4.460156e+06    1.823519e+00
    4.460938e+06    1.796757e+00
    4.461719e+06    1.758862e+00
