    energy(eV)      sigma_s(b)
    3.730156e+06    3.069993e+00
    3.732813e+06    3.078574e+00
    3.738125e+06    3.113842e+00
    3.740781e+06    3.142911e+00
    3.743438e+06    3.183969e+00
    3.746094e+06    3.242239e+00
    3.748086e+06    3.303039e+00
    3.750078e+06    3.382219e+00
    3.751406e+06    3.450383e+00
    3.752734e+06    3.534054e+00
    3.754062e+06    3.637344e+00
    3.755391e+06    3.765193e+00
    3.756387e+06    3.881612e+00
    3.757383e+06    4.017813e+00
    3.758379e+06    4.179058e+00
    3.759375e+06    4.365533e+00
    3.760371e+06    4.581572e+00
    3.761367e+06    4.826976e+00
    3.762695e+06    5.174796e+00
    3.764023e+06    5.523003e+00
    3.764687e+06    5.674993e+00
    3.765352e+06    5.798552e+00
    3.766182e+06    5.899050e+00
    3.766763e+06    5.924683e+00
    3.766846e+06    5.925077e+00
    3.767344e+06    5.911129e+00
    3.767842e+06    5.868531e+00
    3.768672e+06    5.740055e+00
    3.769336e+06    5.597094e+00
    3.770000e+06    5.428582e+00
    3.772246e+06    4.802206e+00
    3.773144e+06    4.567513e+00
    3.773594e+06    4.456182e+00
    3.774492e+06    4.254630e+00
    3.775391e+06    4.076824e+00
    3.776289e+06    3.921575e+00
    3.777188e+06    3.786648e+00
    3.778086e+06    3.669634e+00
    3.778984e+06    3.568084e+00
    3.780332e+06    3.440726e+00
    3.781680e+06    3.335252e+00
    3.782578e+06    3.276078e+00
    3.784375e+06    3.177286e+00
    3.786172e+06    3.098650e+00
    3.787969e+06    3.035028e+00
    3.790664e+06    2.960525e+00
    3.793359e+06    2.903905e+00
    3.795156e+06    2.869394e+00
    3.798750e+06    2.816285e+00
    3.804141e+06    2.755940e+00
    3.813125e+06    2.680715e+00
    3.823906e+06    2.613303e+00
    3.841875e+06    2.522001e+00
    3.863437e+06    2.431585e+00
    3.885000e+06    2.352563e+00
    3.906562e+06    2.286187e+00
    3.928125e+06    2.231511e+00
    3.956875e+06    2.166525e+00
    3.974843e+06    2.126305e+00
    3.985625e+06    2.093581e+00
    3.992813e+06    2.063218e+00
    4.000000e+06    2.021856e+00
    4.006250e+06    1.972993e+00
    4.010937e+06    1.925483e+00
    4.015625e+06    1.868425e+00
    4.020313e+06    1.798825e+00
    4.025000e+06    1.719204e+00
    4.034375e+06    1.537553e+00
    4.039062e+06    1.446541e+00
    4.042187e+06    1.390670e+00
    4.043750e+06    1.364060e+00
    4.046875e+06    1.317048e+00
    4.050000e+06    1.277284e+00
    4.053125e+06    1.245002e+00
    4.056250e+06    1.219869e+00
    4.059375e+06    1.201124e+00
    4.062500e+06    1.187754e+00
    4.067188e+06    1.175632e+00
    4.075000e+06    1.166504e+00
    4.087500e+06    1.158408e+00
    4.096875e+06    1.145642e+00
    4.113281e+06    1.114575e+00
    4.115937e+06    1.110433e+00
    4.121250e+06    1.108152e+00
    4.123906e+06    1.110875e+00
    4.126563e+06    1.117274e+00
    4.129219e+06    1.128293e+00
    4.131875e+06    1.144990e+00
    4.134531e+06    1.168494e+00
    4.137188e+06    1.199935e+00
    4.139844e+06    1.240335e+00
    4.142500e+06    1.290466e+00
    4.145156e+06    1.350663e+00
    4.147812e+06    1.420626e+00
    4.150469e+06    1.499250e+00
    4.154453e+06    1.629156e+00
    4.159765e+06    1.806340e+00
    4.162422e+06    1.889194e+00
    4.163750e+06    1.928751e+00
    4.166406e+06    1.998494e+00
    4.169062e+06    2.056599e+00
    4.171719e+06    2.102083e+00
    4.174375e+06    2.134873e+00
    4.177031e+06    2.155631e+00
    4.179688e+06    2.165509e+00
    4.182344e+06    2.165922e+00
    4.185703e+06    2.154363e+00
    4.189063e+06    2.134586e+00
    4.193125e+06    2.100076e+00
    4.199219e+06    2.035245e+00
    4.233750e+06    1.612751e+00
    4.241875e+06    1.518752e+00
    4.250000e+06    1.430307e+00
    4.257812e+06    1.354869e+00
    4.262500e+06    1.316975e+00
    4.265625e+06    1.297097e+00
    4.268750e+06    1.282990e+00
    4.271875e+06    1.276499e+00
    4.274219e+06    1.278359e+00
    4.276562e+06    1.286551e+00
    4.278906e+06    1.303725e+00
    4.280468e+06    1.320302e+00
    4.282032e+06    1.341720e+00
    4.283594e+06    1.368454e+00
    4.285157e+06    1.400955e+00
    4.286719e+06    1.439625e+00
    4.288281e+06    1.484788e+00
    4.289843e+06    1.536649e+00
    4.291406e+06    1.595264e+00
    4.292968e+06    1.660508e+00
    4.294531e+06    1.732044e+00
    4.296875e+06    1.849480e+00
    4.300000e+06    2.021710e+00
    4.306250e+06    2.380162e+00
    4.309375e+06    2.544331e+00
    4.311718e+06    2.651888e+00
    4.314063e+06    2.744558e+00
    4.316407e+06    2.817701e+00
    4.318750e+06    2.873702e+00
    4.321093e+06    2.909879e+00
    4.323437e+06    2.930489e+00
    4.325000e+06    2.935203e+00
    4.327344e+06    2.931204e+00
    4.330860e+06    2.904178e+00
    4.334375e+06    2.861139e+00
    4.339062e+06    2.786301e+00
    4.355468e+06    2.496461e+00
    4.362500e+06    2.385076e+00
    4.369531e+06    2.287344e+00
    4.376563e+06    2.200158e+00
    4.381250e+06    2.148341e+00
    4.390625e+06    2.057009e+00
    4.400000e+06    1.979778e+00
    4.409375e+06    1.915201e+00
    4.418750e+06    1.860497e+00
    4.428125e+06    1.818239e+00
    4.434375e+06    1.797033e+00
    4.437500e+06    1.788150e+00
    4.443750e+06    1.779023e+00
    4.454688e+06    1.784921e+00
    4.456251e+06    1.780899e+00
    4.457813e+06    1.767609e+00
    4.458594e+06    1.754799e+00
    4.459375e+06    1.735614e+00
    4.460156e+06    1.708209e+00
    4.460938e+06    1.670599e+00
    4.461719e+06    1.621359e+00
    4.462500e+06    1.560442e+00
    4.463672e+06    1.452944e+00
    4.464844e+06    1.343609e+00
    4.465430e+06    1.295651e+00
    4.466016e+06    1.255369e+00
    4.466602e+06    1.224029e+00
    4.467187e+06    1.201422e+00
    4.467773e+06    1.187016e+00
    4.468359e+06    1.179386e+00
